Starting/resuming at k=0, theta=[50.0, 50.0]
iter 70/200 c_k=16.28 a_k=1.20 delta=[1, -1] plus=[66.3, 33.7] minus=[33.7, 66.3] score=0.208 (n=12) -> theta=[50.0, 50.0] [10s]
iter 71/200 c_k=16.25 a_k=1.19 delta=[1, -1] plus=[66.2, 33.8] minus=[33.7, 66.3] score=0.417 (n=12) -> theta=[50.0, 50.0] [12s]
iter 72/200 c_k=16.23 a_k=1.18 delta=[-1, 1] plus=[33.7, 66.3] minus=[66.2, 33.8] score=0.417 (n=12) -> theta=[50.0, 50.0] [15s]
iter 73/200 c_k=16.21 a_k=1.18 delta=[1, -1] plus=[66.2, 33.8] minus=[33.7, 66.2] score=0.333 (n=12) -> theta=[49.9, 50.1] [13s]
iter 74/200 c_k=16.19 a_k=1.17 delta=[-1, 1] plus=[33.8, 66.2] minus=[66.1, 33.9] score=0.375 (n=12) -> theta=[50.0, 50.0] [12s]
iter 75/200 c_k=16.16 a_k=1.16 delta=[1, 1] plus=[66.1, 66.2] minus=[33.8, 33.9] score=0.542 (n=12) -> theta=[50.0, 50.0] [11s]
iter 76/200 c_k=16.14 a_k=1.15 delta=[-1, 1] plus=[33.8, 66.2] minus=[66.1, 33.9] score=0.458 (n=12) -> theta=[50.0, 50.0] [13s]
iter 77/200 c_k=16.12 a_k=1.15 delta=[-1, -1] plus=[33.8, 33.9] minus=[66.1, 66.2] score=0.542 (n=12) -> theta=[50.0, 50.0] [18s]
iter 78/200 c_k=16.10 a_k=1.14 delta=[-1, 1] plus=[33.9, 66.1] minus=[66.1, 33.9] score=0.667 (n=12) -> theta=[49.9, 50.1] [14s]
iter 79/200 c_k=16.08 a_k=1.13 delta=[1, 1] plus=[66.0, 66.1] minus=[33.9, 34.0] score=0.667 (n=12) -> theta=[50.0, 50.1] [13s]
iter 80/200 c_k=16.06 a_k=1.13 delta=[-1, 1] plus=[33.9, 66.1] minus=[66.0, 34.0] score=0.542 (n=12) -> theta=[50.0, 50.1] [10s]
iter 81/200 c_k=16.04 a_k=1.12 delta=[-1, 1] plus=[33.9, 66.1] minus=[66.0, 34.0] score=0.500 (n=12) -> theta=[50.0, 50.1] [11s]
iter 82/200 c_k=16.02 a_k=1.11 delta=[-1, 1] plus=[33.9, 66.1] minus=[66.0, 34.0] score=0.583 (n=12) -> theta=[49.9, 50.1] [14s]
iter 83/200 c_k=16.00 a_k=1.11 delta=[1, -1] plus=[65.9, 34.1] minus=[33.9, 66.1] score=0.417 (n=12) -> theta=[49.9, 50.1] [12s]
iter 84/200 c_k=15.98 a_k=1.10 delta=[-1, -1] plus=[34.0, 34.1] minus=[65.9, 66.1] score=0.667 (n=12) -> theta=[49.9, 50.1] [15s]
iter 85/200 c_k=15.96 a_k=1.09 delta=[1, -1] plus=[65.9, 34.1] minus=[34.0, 66.0] score=0.333 (n=12) -> theta=[49.9, 50.1] [15s]
iter 86/200 c_k=15.94 a_k=1.09 delta=[-1, 1] plus=[34.0, 66.0] minus=[65.9, 34.1] score=0.667 (n=12) -> theta=[49.9, 50.1] [11s]
iter 87/200 c_k=15.92 a_k=1.08 delta=[-1, 1] plus=[34.0, 66.0] minus=[65.8, 34.2] score=0.458 (n=12) -> theta=[49.9, 50.1] [15s]
iter 88/200 c_k=15.91 a_k=1.07 delta=[1, 1] plus=[65.8, 66.0] minus=[34.0, 34.2] score=0.625 (n=12) -> theta=[49.9, 50.1] [13s]
iter 89/200 c_k=15.89 a_k=1.07 delta=[1, -1] plus=[65.8, 34.2] minus=[34.0, 66.0] score=0.417 (n=12) -> theta=[49.9, 50.1] [12s]
iter 90/200 c_k=15.87 a_k=1.06 delta=[1, 1] plus=[65.8, 66.0] minus=[34.0, 34.2] score=0.458 (n=12) -> theta=[49.9, 50.1] [13s]
iter 91/200 c_k=15.85 a_k=1.06 delta=[-1, -1] plus=[34.1, 34.2] minus=[65.8, 66.0] score=0.333 (n=12) -> theta=[49.9, 50.1] [12s]
iter 92/200 c_k=15.83 a_k=1.05 delta=[-1, 1] plus=[34.1, 65.9] minus=[65.8, 34.3] score=0.625 (n=12) -> theta=[49.9, 50.1] [11s]
iter 93/200 c_k=15.82 a_k=1.05 delta=[1, -1] plus=[65.7, 34.3] minus=[34.1, 65.9] score=0.500 (n=12) -> theta=[49.9, 50.1] [12s]
